"VISAE06","id","eventname","component","ACTION","target","objecttable","objectid","crud","edulevel","contextid","contextlevel","contextinstanceid","userid","courseid","relateduserid","anonymous","timecreated","origin","ip","realuserid"
"ECBTI42","9582179","\\mod_forum\\event\\post_created","mod_forum","created","post","forum_posts","322220","c","2","4217","70","3642","512812","37","\N","0","1543964507","web","181.135.96.79","\N"
"ECBTI42","9582187","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","17094","r","2","4217","70","3642","512812","37","\N","0","1543964510","web","181.135.96.79","\N"
"ECBTI42","9653419","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1544036889","web","181.135.96.79","\N"
"ECBTI42","9653424","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","73","50","37","512812","37","\N","0","1544036891","web","181.135.96.79","\N"
"ECBTI42","9653431","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","524","r","2","4217","70","3642","512812","37","\N","0","1544036898","web","181.135.96.79","\N"
"ECBTI42","9653443","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","17094","r","2","4217","70","3642","512812","37","\N","0","1544036905","web","181.135.96.79","\N"
"ECBTI42","9653516","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1544036956","web","181.135.96.79","\N"
"ECBTI42","9653519","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","135","50","99","512812","99","\N","0","1544036957","web","181.135.96.79","\N"
"ECBTI42","9653541","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","621","r","2","4997","70","4395","512812","99","\N","0","1544036978","web","181.135.96.79","\N"
"ECBTI42","9653544","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","18741","r","2","4997","70","4395","512812","99","\N","0","1544036980","web","181.135.96.79","\N"
"ECBTI42","9653568","\\mod_folder\\event\\course_module_viewed","mod_folder","viewed","course_module","folder","621","r","2","4998","70","4396","512812","99","\N","0","1544036997","web","181.135.96.79","\N"
"ECBTI42","9654020","\\mod_folder\\event\\course_module_viewed","mod_folder","viewed","course_module","folder","623","r","2","5003","70","4401","512812","99","\N","0","1544037270","web","181.135.96.79","\N"
"ECBTI42","9654287","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","621","r","2","4997","70","4395","512812","99","\N","0","1544037494","web","181.135.96.79","\N"
"ECBTI42","9654292","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","18741","r","2","4997","70","4395","512812","99","\N","0","1544037497","web","181.135.96.79","\N"
"ECBTI42","9654386","\\mod_forum\\event\\assessable_uploaded","mod_forum","uploaded","assessable","forum_posts","324324","c","2","4997","70","4395","512812","99","\N","0","1544037562","web","181.135.96.79","\N"
"ECBTI42","9654387","\\mod_forum\\event\\post_created","mod_forum","created","post","forum_posts","324324","c","2","4997","70","4395","512812","99","\N","0","1544037562","web","181.135.96.79","\N"
"ECBTI42","9654393","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","18741","r","2","4997","70","4395","512812","99","\N","0","1544037566","web","181.135.96.79","\N"
"ECBTI42","9654464","\\mod_forum\\event\\assessable_uploaded","mod_forum","uploaded","assessable","forum_posts","324324","c","2","4997","70","4395","512812","99","\N","0","1544037624","web","181.135.96.79","\N"
"ECBTI42","9654465","\\mod_forum\\event\\post_updated","mod_forum","updated","post","forum_posts","324324","u","2","4997","70","4395","512812","99","\N","0","1544037624","web","181.135.96.79","\N"
"ECBTI42","9654468","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","18741","r","2","4997","70","4395","512812","99","\N","0","1544037627","web","181.135.96.79","\N"
"ECBTI42","9758335","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1544125568","web","181.135.96.79","\N"
"ECBTI42","9758339","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","73","50","37","512812","37","\N","0","1544125569","web","181.135.96.79","\N"
"ECBTI42","9758370","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","524","r","2","4217","70","3642","512812","37","\N","0","1544125582","web","181.135.96.79","\N"
"ECBTI42","9758379","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","17094","r","2","4217","70","3642","512812","37","\N","0","1544125586","web","181.135.96.79","\N"
"ECBTI42","9759739","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1544126401","web","181.135.96.79","\N"
"ECBTI42","9759740","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","135","50","99","512812","99","\N","0","1544126402","web","181.135.96.79","\N"
"ECBTI42","9759758","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","621","r","2","4997","70","4395","512812","99","\N","0","1544126409","web","181.135.96.79","\N"
"ECBTI42","9759772","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","18741","r","2","4997","70","4395","512812","99","\N","0","1544126413","web","181.135.96.79","\N"
"ECBTI42","9781556","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1544138406","web","181.135.96.79","\N"
"ECBTI42","9781563","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","135","50","99","512812","99","\N","0","1544138407","web","181.135.96.79","\N"
"ECBTI42","9781678","\\mod_folder\\event\\course_module_viewed","mod_folder","viewed","course_module","folder","623","r","2","5003","70","4401","512812","99","\N","0","1544138466","web","181.135.96.79","\N"
"ECBTI42","9785223","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1544140464","web","181.135.96.79","\N"
"ECBTI42","9785227","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","135","50","99","512812","99","\N","0","1544140466","web","181.135.96.79","\N"
"ECBTI42","9785248","\\mod_assign\\event\\submission_status_viewed","mod_assign","viewed","submission_status","\N","\N","r","0","5012","70","4410","512812","99","\N","0","1544140479","web","181.135.96.79","\N"
"ECBTI42","9785265","\\gradereport_user\\event\\grade_report_viewed","gradereport_user","viewed","grade_report","\N","\N","r","2","135","50","99","512812","99","512812","0","1544140490","web","181.135.96.79","\N"
"ECBTI42","9785655","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1544140683","web","181.135.96.79","\N"
"ECBTI42","9785657","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","135","50","99","512812","99","\N","0","1544140684","web","181.135.96.79","\N"
"ECBTI42","9785675","\\mod_folder\\event\\course_module_viewed","mod_folder","viewed","course_module","folder","621","r","2","4998","70","4396","512812","99","\N","0","1544140700","web","181.135.96.79","\N"
"ECBTI42","9785879","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","621","r","2","4997","70","4395","512812","99","\N","0","1544140813","web","181.135.96.79","\N"
"ECBTI42","9785898","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","18741","r","2","4997","70","4395","512812","99","\N","0","1544140817","web","181.135.96.79","\N"
"ECBTI42","9822488","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1544184047","web","181.135.96.79","\N"
"ECBTI42","9822489","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","135","50","99","512812","99","\N","0","1544184049","web","181.135.96.79","\N"
"ECBTI42","9822491","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","621","r","2","4997","70","4395","512812","99","\N","0","1544184065","web","181.135.96.79","\N"
"ECBTI42","10542392","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","73","50","37","512812","37","\N","0","1544647090","web","181.135.96.79","\N"
